Word,BSL Rank,SFI,U,D,F
drift,1169,51.64,14.59,0.9447,980
vaccine,1170,50.4,10.97,0.5716,980
insufficient,1171,51.64,14.6,0.9503,979
particle,1172,51.17,13.1,0.7938,979
flavor,1173,51.78,15.06,0.994,978
emergence,1174,51.71,14.84,0.9721,978
interference,1175,51.66,14.66,0.9547,978
indifference,1176,51.04,12.71,0.7632,977
geographical,1177,51.66,14.64,0.9581,976
voucher,1178,51.57,14.37,0.9316,976
encompass,1179,51.62,14.52,0.9483,975
proportional,1180,51.61,14.5,0.9462,975
seminar,1181,51.29,13.45,0.8613,974
uncover,1182,51.68,14.72,0.969,973
petty,1183,51.1,12.89,0.7847,973
convergence,1184,51.71,14.81,0.9786,972
worsen,1185,51.32,13.56,0.8524,972
rejection,1186,51.72,14.86,0.9849,971
reorganization,1187,51.56,14.32,0.9395,969
mitigate,1188,51.32,13.55,0.8691,969
successive,1189,51.68,14.71,0.9766,967
blend,1190,51.66,14.65,0.9721,967
performer,1191,51.65,14.63,0.9695,967
simplicity,1192,51.62,14.51,0.96,966
static,1193,51.44,13.93,0.9087,966
deregulation,1194,51.4,13.8,0.8876,966
computerize,1195,51.35,13.65,0.8788,966
succession,1196,51.45,13.97,0.9037,965
royalty,1197,51.69,14.74,0.9843,964
classroom,1198,51.6,14.45,0.9567,964
spectacular,1199,51.17,13.09,0.8208,964
macro,1200,51.03,12.66,0.7994,964
flourish,1201,51.01,12.62,0.7661,963
insurgent,1202,48.33,6.8,0.1157,963
script,1203,51.6,14.44,0.9601,962
relevance,1204,51.46,13.98,0.9186,962
complement,1205,51.59,14.42,0.959,961
oral,1206,51.41,13.84,0.9024,961
setup,1207,50.42,11.01,0.6285,961
notable,1208,51.54,14.26,0.9424,960
tranche,1209,51.4,13.81,0.9014,960
numerical,1210,51.21,13.23,0.8494,960
policymaker,1211,50.43,11.04,0.6029,960
technically,1212,51.68,14.71,0.9889,959
organ,1213,51.6,14.46,0.9631,959
cheat,1214,51.53,14.21,0.9376,959
utilization,1215,50.98,12.53,0.7853,959
tumble,1216,50.92,12.37,0.7472,959
baseline,1217,50.6,11.48,0.6888,956
template,1218,50.59,11.46,0.6954,956
cheer,1219,50.45,11.09,0.613,956
dependence,1220,51.66,14.66,0.9895,955
instability,1221,51.57,14.35,0.9582,955
obituary,1222,48.81,7.61,0.2157,955
ray,1223,51.41,13.83,0.9058,954
peso,1224,51.23,13.28,0.847,954
denominate,1225,51.25,13.35,0.8681,953
shortfall,1226,51.62,14.52,0.9804,952
durable,1227,51.42,13.86,0.9209,951
countryside,1228,50.38,10.91,0.6122,950
originate,1229,51.51,14.14,0.9497,949
bureaucratic,1230,51.33,13.59,0.8924,949
periodically,1231,51.15,13.02,0.8422,949
campus,1232,51.26,13.36,0.8714,948
stochastic,1233,50.54,11.32,0.6843,948
kidnap,1234,49.38,8.67,0.3421,948
prevention,1235,51.52,14.19,0.9555,947
redundancy,1236,49.87,9.7,0.5714,947
dictator,1237,49.63,9.18,0.4043,947
dual,1238,51.62,14.52,0.99,946
brick,1239,51.6,14.45,0.9825,946
internally,1240,51.49,14.08,0.9473,946
unhappy,1241,51.09,12.86,0.8158,946
erode,1242,51.51,14.14,0.9528,945
refinance,1243,51.08,12.83,0.8328,945
tribal,1244,49.36,8.63,0.3411,945
empower,1245,51.46,14,0.9427,943
oversight,1246,51.4,13.79,0.9216,943
transparent,1247,51.37,13.72,0.9125,943
predictor,1248,50.55,11.36,0.681,943
interfere,1249,51.56,14.31,0.9741,942
dominance,1250,51.54,14.27,0.97,942
segmentation,1251,50.92,12.35,0.7889,942
hugely,1252,50.23,10.54,0.5631,942
arbitrary,1253,51.56,14.32,0.9772,941
seemingly,1254,51.38,13.75,0.9174,941
integral,1255,51.3,13.49,0.9004,941
wholesaler,1256,51.23,13.26,0.8727,941
renewable,1257,51.35,13.65,0.9094,940
bilateral,1258,50.93,12.38,0.7697,940
visa,1259,50.46,11.12,0.6321,940
disagreement,1260,51.45,13.96,0.9428,939
cotton,1261,51.36,13.68,0.9171,939
intensity,1262,51.57,14.35,0.9848,938
routinely,1263,51.24,13.32,0.8755,938
displace,1264,51.23,13.27,0.8716,938
immune,1265,51.19,13.15,0.8632,938
obscure,1266,51.16,13.07,0.8504,938
mobility,1267,51.54,14.25,0.9766,937
dilute,1268,51.49,14.11,0.9621,937
precedent,1269,51.37,13.71,0.9216,937
elaborate,1270,51.56,14.33,0.9865,935
reprint,1271,51.4,13.79,0.9308,935
bull,1272,51.37,13.7,0.9264,935
grocery,1273,51.28,13.44,0.8984,935
satisfactory,1274,51.16,13.07,0.8707,935
clone,1275,50.7,11.74,0.7243,934
extremist,1276,48.94,7.83,0.2629,934
peg,1277,51.48,14.05,0.961,933
idle,1278,51.41,13.82,0.9425,932
urgent,1279,51.26,13.37,0.8944,932
affordable,1280,51.19,13.15,0.877,932
allegedly,1281,50.7,11.76,0.7126,932
laptop,1282,51.14,13.01,0.8571,930
annualize,1283,50.72,11.81,0.7541,930
turmoil,1284,50.83,12.11,0.7595,929
reinforcement,1285,50.67,11.66,0.7456,929
wary,1286,50.64,11.59,0.6989,929
salespeople,1287,50.42,11.03,0.6613,928
credible,1288,51.42,13.87,0.9516,927
woe,1289,50.21,10.49,0.5802,926
capita,1290,51.06,12.77,0.8561,925
underestimate,1291,51.46,14.01,0.9709,924
tolerate,1292,51.34,13.62,0.9304,924
casino,1293,51.15,13.04,0.8679,924
physics,1294,51.02,12.64,0.8272,924
downside,1295,50.65,11.6,0.7433,924
fragile,1296,50.38,10.9,0.6293,924
invade,1297,50.08,10.19,0.5451,924
steam,1298,50.85,12.17,0.7979,923
subtle,1299,51.39,13.76,0.9483,922
hydrogen,1300,50.3,10.72,0.6244,922
underground,1301,51.09,12.86,0.859,921
replicate,1302,51.3,13.5,0.9263,920
crush,1303,50.47,11.15,0.6628,920
appliance,1304,51.42,13.86,0.9652,919
thereafter,1305,51.45,13.95,0.9758,918
generator,1306,51.4,13.81,0.9613,918
breakthrough,1307,51.26,13.37,0.9121,918
rhetoric,1308,50.39,10.94,0.6414,918
delta,1309,50.25,10.59,0.6591,918
seldom,1310,51.45,13.96,0.9772,917
marketable,1311,50.83,12.1,0.7896,917
plausible,1312,51.16,13.05,0.8801,916
graphics,1313,51.23,13.28,0.917,915
conjunction,1314,51.2,13.17,0.9084,915
pan,1315,51.2,13.17,0.8996,915
overhaul,1316,50.99,12.57,0.8295,915
sensor,1317,51.12,12.94,0.8742,914
doubtful,1318,51.09,12.84,0.8655,914
ideological,1319,50.43,11.03,0.6582,914
tribe,1320,49.73,9.39,0.4648,914
grasp,1321,51.27,13.41,0.9257,913
interactive,1322,51.11,12.92,0.8807,913
injection,1323,51.49,14.09,0.9992,912
bracket,1324,51.37,13.69,0.9593,912
inappropriate,1325,51.28,13.42,0.9329,912
outrage,1326,49.88,9.72,0.5071,912
hurdle,1327,51.4,13.79,0.9697,911
morale,1328,51.42,13.88,0.9803,910
coincide,1329,51.38,13.73,0.9649,910
commentator,1330,51.17,13.09,0.8972,910
premier,1331,51.06,12.76,0.862,910
insurgency,1332,48.57,7.2,0.2076,910
incline,1333,51.33,13.59,0.9505,909
averse,1334,51.17,13.09,0.8999,909
pill,1335,51.18,13.14,0.9029,908
nomination,1336,50.02,10.05,0.554,908
enlarge,1337,51.19,13.14,0.907,907
ethanol,1338,49.41,8.74,0.3986,907
fairness,1339,51.4,13.79,0.9779,906
locally,1340,51.37,13.69,0.9682,906
dependency,1341,50.97,12.5,0.8438,906
prepayment,1342,50.36,10.85,0.6837,906
externality,1343,50.81,12.06,0.8077,904
helicopter,1344,50.17,10.39,0.595,904
disrupt,1345,51.15,13.03,0.8988,903
confidential,1346,50.96,12.47,0.8593,903
slot,1347,51.4,13.8,0.9851,902
perpetual,1348,50.94,12.42,0.8414,902
mild,1349,50.9,12.31,0.8218,902
ration,1350,51.39,13.76,0.9826,901
mini,1351,51.36,13.69,0.975,901
mosque,1352,48.91,7.78,0.2899,901
inability,1353,51.43,13.9,0.9998,899
pet,1354,51.4,13.81,0.9908,899
discriminate,1355,51.4,13.81,0.9904,899
analytic,1356,50.24,10.57,0.6716,898
highway,1357,51.22,13.25,0.9342,897
proliferation,1358,50.96,12.46,0.8443,897
autonomous,1359,51.16,13.07,0.9169,896
prone,1360,51.13,12.97,0.9063,894
disruption,1361,51.39,13.77,0.9961,893
drawback,1362,51.38,13.73,0.9918,893
inefficiency,1363,51.34,13.6,0.9788,893
relieve,1364,51.33,13.58,0.9757,893
downgrade,1365,51.03,12.66,0.8799,893
ideology,1366,50.7,11.76,0.7806,892
greenhouse,1367,50.74,11.84,0.783,891
plead,1368,50.93,12.39,0.8485,890
openly,1369,50.76,11.9,0.7922,890
elastic,1370,50.52,11.27,0.7402,889
oust,1371,49.7,9.32,0.4887,889
spite,1372,51.26,13.37,0.9644,887
thorough,1373,51.26,13.35,0.9635,887
forbid,1374,51.12,12.93,0.9144,887
entrant,1375,51.17,13.1,0.9396,886
underwriter,1376,51.12,12.95,0.9257,886
cattle,1377,51.1,12.89,0.9118,886
overtime,1378,50.97,12.51,0.8836,885
newcomer,1379,50.63,11.57,0.7633,884
prolong,1380,51.09,12.84,0.911,883
salvage,1381,50.76,11.91,0.8131,883
pursuant,1382,50.32,10.76,0.7242,883
appropriately,1383,51.01,12.63,0.8972,882
cleaner,1384,51.19,13.16,0.9504,881
accusation,1385,50.15,10.34,0.6216,881
entrepreneurial,1386,51.26,13.37,0.9767,879
devaluation,1387,51.16,13.05,0.9434,879
outlay,1388,50.96,12.48,0.8847,879
simulate,1389,50.88,12.24,0.8584,879
continental,1390,50.59,11.45,0.7677,879
precious,1391,51.21,13.21,0.9611,878
regain,1392,50.85,12.17,0.8417,878
differentiation,1393,50.75,11.87,0.8253,878
restrictive,1394,51.05,12.73,0.9146,877
deed,1395,51.18,13.12,0.9551,876
competent,1396,51.25,13.33,0.9784,875
horror,1397,49.86,9.68,0.5537,875
mechanical,1398,51.27,13.38,0.9862,874
nationwide,1399,51.17,13.1,0.9574,873
occasional,1400,51.05,12.72,0.9159,873
earthquake,1401,50.42,11,0.7115,873
nominate,1402,50.92,12.36,0.8779,872
globe,1403,51.09,12.86,0.9343,871
sovereignty,1404,49.98,9.95,0.5875,871
asylum,1405,48.9,7.76,0.3204,871
isolation,1406,51.22,13.25,0.9781,870
circulate,1407,51.11,12.9,0.9425,870
overstate,1408,51.04,12.7,0.9163,870
partition,1409,50.66,11.64,0.803,870
hypothetical,1410,50.84,12.14,0.8699,868
deprive,1411,50.96,12.48,0.8958,867
homeowner,1412,50.68,11.7,0.8242,867
investigator,1413,51.04,12.71,0.9229,866
explosive,1414,50.83,12.1,0.8531,866
tactical,1415,51.14,12.99,0.959,865
psychology,1416,50.89,12.29,0.8866,865
reap,1417,51.22,13.26,0.9886,864
disposable,1418,51.18,13.12,0.9736,864
arbitration,1419,50.73,11.84,0.8477,864
furnish,1420,50.98,12.55,0.9192,863
boycott,1421,49.83,9.62,0.5575,863
discrete,1422,50.17,10.39,0.6955,862
gloomy,1423,49.73,9.4,0.5385,862
unpredictable,1424,51.21,13.23,0.9906,861
worthwhile,1425,51.09,12.84,0.9508,861
consecutive,1426,50.89,12.26,0.8899,861
accumulation,1427,50.81,12.04,0.8711,861
disastrous,1428,50.75,11.89,0.8383,861
dissident,1429,49.46,8.83,0.464,861
tremendous,1430,51.06,12.76,0.9452,860
prototype,1431,51.02,12.64,0.9277,859
defensive,1432,51.19,13.15,0.987,858
cinema,1433,50.62,11.54,0.8065,858
communism,1434,50.28,10.67,0.7011,858
unpaid,1435,51.15,13.03,0.9761,857
drain,1436,51.07,12.79,0.9493,857
frustration,1437,50.94,12.4,0.9033,857
mentor,1438,50.81,12.04,0.8643,857
fret,1439,48.9,7.77,0.3352,857
depart,1440,51.11,12.91,0.964,856
undervalue,1441,50.86,12.2,0.8899,856
diligence,1442,50.87,12.23,0.8994,855
suspicious,1443,50.73,11.83,0.8394,855
outweigh,1444,51.2,13.17,0.9963,854
reminder,1445,51.08,12.82,0.9567,854
yearly,1446,51.02,12.65,0.9416,854
undoubtedly,1447,50.93,12.38,0.9125,853
composite,1448,50.8,12.01,0.8834,852
specialty,1449,50.16,10.38,0.7088,852
pizza,1450,49.95,9.89,0.6299,851
micro,1451,51.14,13,0.9845,850
ideally,1452,51.02,12.64,0.9472,850
casual,1453,50.77,11.93,0.8734,850
amongst,1454,50.07,10.17,0.7162,850
congressman,1455,48.7,7.41,0.2989,850
transit,1456,51.03,12.68,0.9526,849
meantime,1457,50.84,12.13,0.8871,849
ratify,1458,50.6,11.47,0.8049,849
healthcare,1459,50.03,10.07,0.691,849
eventual,1460,50.98,12.53,0.9355,847
vague,1461,50.91,12.32,0.9118,847
correspondent,1462,50.22,10.53,0.6999,846
doom,1463,50.42,11.01,0.7595,844
rage,1464,50.05,10.12,0.6491,844
myth,1465,50.92,12.36,0.9229,843
synthetic,1466,50.63,11.56,0.8458,843
inspect,1467,51.04,12.7,0.9662,841
outbreak,1468,49.82,9.59,0.5868,841
separatist,1469,48.94,7.83,0.3587,839
deficiency,1470,50.88,12.25,0.9241,838
imbalance,1471,51.01,12.61,0.963,837
bolster,1472,50.33,10.78,0.7418,837
constructive,1473,50.97,12.51,0.9561,836
laser,1474,50.63,11.55,0.8405,836
smuggle,1475,50.14,10.34,0.6899,836
loop,1476,51.02,12.64,0.9704,835
proclaim,1477,50.27,10.65,0.7279,835
vacation,1478,50.38,10.92,0.7801,834
audio,1479,50.99,12.55,0.9644,833
delete,1480,50.7,11.76,0.8831,833
disable,1481,50.85,12.16,0.9257,832
commence,1482,50.35,10.83,0.7961,832
skeptic,1483,49.9,9.76,0.6194,832
bounce,1484,50.69,11.72,0.8681,831
defective,1485,50.11,10.25,0.7087,831
reformer,1486,49.5,8.9,0.5214,831
endorsement,1487,50.96,12.47,0.9587,830
unwilling,1488,50.95,12.44,0.9559,829
cheaply,1489,50.58,11.43,0.8342,829
enrich,1490,50.5,11.22,0.8072,829
prop,1491,50.29,10.69,0.7453,828
depositor,1492,51.05,12.73,0.9947,826
cargo,1493,50.96,12.48,0.9689,825
clout,1494,49.51,8.93,0.5236,825
thumb,1495,51.03,12.66,0.9926,823
mall,1496,50.74,11.86,0.8973,823
authorization,1497,50.78,11.96,0.9193,822
faculty,1498,50.57,11.4,0.8593,821
decree,1499,50.28,10.67,0.754,821
collectively,1500,50.95,12.44,0.9734,820
conspiracy,1501,50.23,10.54,0.7372,820
dioxide,1502,50.67,11.66,0.8808,819
enhancement,1503,50.39,10.94,0.8139,819
decentralize,1504,50.87,12.23,0.9528,818
explode,1505,50.52,11.26,0.831,818
pensioner,1506,49.78,9.5,0.64,818
unauthorize,1507,50.74,11.86,0.9123,817
pin,1508,50.72,11.79,0.9019,817
aluminum,1509,50.94,12.42,0.9774,816
presume,1510,51,12.6,0.9992,815
prudent,1511,50.93,12.37,0.9747,815
dispatch,1512,50.63,11.57,0.8835,815
spill,1513,50.79,12,0.9309,814
census,1514,50.88,12.25,0.9623,813
vow,1515,49.01,7.96,0.4142,813
ineffective,1516,50.91,12.32,0.9729,812
adequately,1517,50.75,11.9,0.9289,812
prosper,1518,50.65,11.61,0.8859,812
devastate,1519,50.63,11.56,0.8807,812
testimony,1520,50.7,11.75,0.9044,811
manipulation,1521,50.95,12.46,0.9924,810
cooperative,1522,50.42,11.02,0.8343,810
streamline,1523,50.78,11.98,0.9396,809
rigid,1524,50.78,11.96,0.9355,809
tenure,1525,50.84,12.12,0.9562,808
milestone,1526,50.43,11.03,0.8296,808
optimum,1527,50.41,11,0.8378,808
subsection,1528,49.81,9.58,0.6902,808
excellence,1529,50.89,12.27,0.9763,807
thoroughly,1530,50.87,12.23,0.9722,807
dose,1531,50.48,11.16,0.8467,807
formulation,1532,50.61,11.51,0.8947,806
exert,1533,50.87,12.21,0.9719,805
expectancy,1534,50.86,12.18,0.9689,805
syndicate,1535,50.78,11.97,0.9479,805
discontinue,1536,50.18,10.41,0.7683,805
unfavorable,1537,50.4,10.98,0.8358,802
proprietorship,1538,48.92,7.8,0.4557,801
franc,1539,50.44,11.07,0.8521,799
policyholder,1540,50.06,10.14,0.7705,799
sustainability,1541,49.97,9.92,0.7313,799
supervisory,1542,50.84,12.13,0.9762,798
brochure,1543,49.74,9.42,0.7038,798
sheer,1544,50.58,11.43,0.8919,797
electorate,1545,49.68,9.3,0.614,797
realization,1546,50.7,11.76,0.9367,796
neo,1547,49.91,9.79,0.689,796
reinvestment,1548,49.64,9.21,0.6568,796
clue,1549,50.84,12.14,0.9821,795
scratch,1550,50.72,11.8,0.9403,795
dissent,1551,50.47,11.13,0.8558,795
pit,1552,50.3,10.72,0.814,795
intrigue,1553,50.11,10.25,0.7431,795
patch,1554,50.51,11.24,0.8722,794
brave,1555,49.53,8.98,0.5859,794
pending,1556,50.82,12.07,0.9779,793
scatter,1557,50.76,11.92,0.9577,793
annum,1558,50.05,10.12,0.7705,793
mar,1559,49.77,9.48,0.6544,793
restrain,1560,50.62,11.54,0.9147,792
configuration,1561,50.12,10.29,0.781,792
reportedly,1562,49.68,9.29,0.6218,792
rewrite,1563,50.83,12.09,0.9834,791
broaden,1564,50.82,12.08,0.984,790
negotiator,1565,50.13,10.31,0.7661,790
offensive,1566,50.5,11.22,0.878,789
rape,1567,49.12,8.16,0.4727,789
embody,1568,50.83,12.1,0.9905,788
deployment,1569,50.67,11.66,0.9366,788
detection,1570,50.56,11.36,0.9036,788
bullet,1571,50.42,11.02,0.857,787
permanently,1572,50.8,12.03,0.9852,786
intelligent,1573,50.7,11.74,0.9495,786
conservation,1574,50.33,10.79,0.8384,786
slim,1575,50.08,10.18,0.7531,786
synergy,1576,50.72,11.79,0.959,785
incomplete,1577,50.61,11.5,0.9243,785
beam,1578,50.12,10.28,0.7685,785
disguise,1579,50.59,11.46,0.9184,784
charitable,1580,50.81,12.04,0.9961,781
selective,1581,50.8,12.02,0.9932,781
assertion,1582,50.64,11.6,0.9436,781
dictatorship,1583,48.98,7.91,0.4518,781
fraudulent,1584,50.54,11.32,0.9109,780
constituent,1585,50.76,11.92,0.9852,779
compatible,1586,50.69,11.73,0.9642,779
fiduciary,1587,50.27,10.64,0.8478,779
inference,1588,50.05,10.12,0.7764,779
speculate,1589,50.72,11.82,0.9738,778
liter,1590,50.72,11.8,0.9719,778
citizenship,1591,50.35,10.84,0.8502,778
rebound,1592,50.27,10.64,0.8303,778
beverage,1593,50.22,10.52,0.8281,777
scorecard,1594,49.4,8.71,0.6053,776
ounce,1595,50.52,11.28,0.9154,775
tunnel,1596,50.4,10.96,0.8781,775
clinic,1597,50.29,10.69,0.8344,775
referral,1598,50.47,11.15,0.9057,774
plague,1599,50.1,10.23,0.7753,774
killer,1600,49.71,9.36,0.6573,774
grave,1601,49.71,9.36,0.6604,774
residence,1602,50.65,11.63,0.9625,773
poster,1603,50.28,10.67,0.848,773
contributor,1604,50.72,11.81,0.9853,772
cognitive,1605,50.18,10.42,0.8198,772
negotiable,1606,50.14,10.32,0.8053,772
reconstruction,1607,50.36,10.86,0.8664,771
restate,1608,50.49,11.18,0.9139,769
rightly,1609,50.01,10.03,0.7655,769
converge,1610,50.7,11.74,0.9835,768
sadly,1611,49.7,9.33,0.6735,768
paramilitary,1612,47.54,5.68,0.1527,768
incorrect,1613,50.42,11.01,0.899,767
compulsory,1615,50.25,10.59,0.8491,767
dismantle,1616,49.88,9.74,0.7237,767
precision,1617,50.7,11.74,0.988,766
ink,1618,50.69,11.73,0.9897,764
duly,1619,50.43,11.03,0.8997,764
baseball,1620,50.35,10.83,0.8719,764
reformist,1621,48.18,6.57,0.2844,764
imminent,1622,50.11,10.26,0.799,763
editorial,1623,50.48,11.18,0.9278,762
sympathy,1624,49.38,8.68,0.5892,762
forecaster,1625,50.44,11.07,0.9118,761
clip,1626,50.57,11.4,0.9554,760
conceal,1627,50.55,11.35,0.95,760
lab,1628,50.54,11.33,0.9478,760
unrelated,1629,50.54,11.31,0.9465,760
clarity,1630,50.68,11.7,0.9954,759
rigorous,1631,50.66,11.65,0.9916,758
suite,1632,50.23,10.55,0.8714,757
flotation,1633,50.22,10.51,0.8506,757
atom,1634,49.71,9.35,0.7059,757
hitherto,1635,49.07,8.08,0.5159,757
apple,1636,50.38,10.93,0.9086,756
maneuver,1637,50.03,10.07,0.7896,756
prosperous,1638,49.95,9.89,0.7622,756
launder,1639,50.32,10.76,0.8798,755
statistically,1640,50.28,10.67,0.881,754
instructor,1641,49.8,9.55,0.7379,754
instruct,1642,50.56,11.37,0.967,753
specialization,1643,50.36,10.86,0.9072,753
globally,1644,50.23,10.55,0.8678,752
hungry,1645,49.97,9.94,0.7776,752
cleric,1646,47.23,5.29,0.1119,752
pronounce,1647,50.6,11.47,0.9839,750
archive,1648,50.5,11.22,0.9549,750
unify,1649,50.59,11.45,0.9836,749
redesign,1650,50.53,11.31,0.9661,749
adhere,1651,50.44,11.07,0.9379,749
dash,1652,50.37,10.89,0.9098,749
enthusiastic,1653,50.16,10.37,0.8439,749
rein,1654,49.74,9.43,0.7097,749
dismissal,1655,49.34,8.59,0.6665,749
empowerment,1656,49.98,9.95,0.7924,748
revival,1657,49.64,9.2,0.6819,748
nationalize,1658,49.32,8.55,0.6443,748
swiftly,1659,49.58,9.07,0.6665,747
trainee,1660,49.42,8.76,0.6747,747
nationalism,1661,48.69,7.4,0.4282,747
void,1662,50.44,11.06,0.9442,746
confirmation,1663,50.51,11.25,0.9681,745
prejudice,1664,50.13,10.31,0.8464,745
enforceable,1665,50.07,10.16,0.8323,745
instinct,1666,49.83,9.62,0.746,745
dub,1667,49.63,9.18,0.6816,745
deliberate,1668,50.54,11.32,0.9767,744
approximation,1669,49.86,9.67,0.7777,744
unsecured,1670,50.21,10.5,0.8812,743
quotation,1671,50.18,10.43,0.8754,743
cruise,1672,50.15,10.35,0.8614,743
timetable,1673,49.54,9.01,0.6929,743
mold,1674,50.56,11.38,0.9884,742
blast,1675,49.59,9.11,0.6769,742
seeker,1676,49.93,9.85,0.783,741
accomplishment,1677,49.91,9.79,0.7862,741
alas,1678,48.76,7.51,0.4532,741
impair,1679,50.08,10.2,0.8456,740
memorandum,1680,49.87,9.7,0.7989,740
testify,1681,50.16,10.37,0.8573,739
prod,1682,49.8,9.54,0.747,739
liberalize,1683,49.26,8.44,0.5871,739
bully,1684,49.13,8.19,0.5531,739
persistent,1685,50.56,11.38,0.9962,738
catastrophe,1686,50.09,10.2,0.8383,738
endless,1687,50.29,10.68,0.9069,737
revaluation,1688,50.21,10.5,0.8869,737
swell,1689,49.66,9.26,0.7107,737
cancellation,1690,50.3,10.71,0.9208,736
worthy,1691,50.27,10.65,0.9059,735
resale,1692,50.07,10.16,0.8516,735
progressive,1693,50.5,11.23,0.9848,734
corrective,1694,49.98,9.95,0.8242,734
physician,1695,49.94,9.86,0.815,734
genocide,1696,47.37,5.46,0.1559,734
legitimacy,1697,49.71,9.36,0.7288,733
speculator,1698,50.51,11.25,0.9913,732
inconsistent,1699,50.33,10.79,0.9343,732
captain,1700,50.31,10.73,0.9255,732
plainly,1701,49.31,8.54,0.6161,732
equate,1702,50.31,10.75,0.9331,731
programmer,1703,50.44,11.07,0.9711,730
unexpectedly,1704,50.18,10.42,0.8839,730
timber,1705,50.14,10.34,0.8815,730
credential,1706,50.02,10.04,0.8313,730
lately,1707,49.97,9.94,0.8191,730
randomly,1708,49.82,9.6,0.7848,730
colonial,1709,49.62,9.16,0.7116,730
underpin,1710,50.41,10.99,0.963,729
diary,1711,49.95,9.89,0.8264,729
heir,1712,49.94,9.87,0.8073,729
genuinely,1713,49.93,9.84,0.8112,729
passport,1714,49.72,9.37,0.7453,728
severely,1715,50.48,11.18,0.9918,727
grim,1716,49.09,8.11,0.5632,727
relational,1717,48.97,7.88,0.5634,727
brutal,1718,48.7,7.41,0.4575,727
quasi,1719,50.48,11.18,0.994,726
monopolist,1720,50.21,10.51,0.9098,726
physically,1721,50.46,11.11,0.9873,725
disposition,1722,49.94,9.86,0.837,725
histogram,1723,48.58,7.21,0.4711,725
misunderstand,1724,50.45,11.1,0.9875,724
stack,1725,50.44,11.07,0.9834,724
recipe,1726,50.31,10.75,0.9416,724
outgoing,1727,49.96,9.91,0.8261,724
worksheet,1728,49.34,8.58,0.6777,724
biography,1729,49.06,8.05,0.5577,724
serial,1730,50.37,10.89,0.9636,723
intercept,1731,50.09,10.22,0.872,723
dent,1732,50,10,0.8378,723
absorption,1733,49.91,9.78,0.8249,723
importer,1734,50.3,10.72,0.9451,722
verbal,1735,50.3,10.71,0.944,722
peacekeeping,1736,48.4,6.92,0.3925,722
continuity,1737,50.39,10.93,0.9725,721
geography,1738,50.36,10.86,0.9633,721
dismal,1739,49.45,8.82,0.6736,721
magnetic,1740,50.15,10.35,0.8955,720
generalize,1741,50.06,10.13,0.8737,720
confrontation,1742,49.71,9.35,0.7537,720
demise,1743,50.01,10.03,0.8522,719
reversal,1744,50.36,10.86,0.9682,718
tide,1745,49.94,9.86,0.8315,718
saver,1746,50.31,10.74,0.9553,717
tick,1747,50.24,10.56,0.9332,717
bug,1748,50.08,10.18,0.8805,716
intensify,1749,49.98,9.94,0.8454,716
reluctance,1750,49.89,9.75,0.8203,716
aviation,1751,49.56,9.03,0.7162,716
defy,1752,49.41,8.73,0.6693,716
confer,1753,50.24,10.56,0.9372,715
portable,1754,50.4,10.97,0.9912,714
surveillance,1755,49.97,9.94,0.8504,714
decimal,1756,49.25,8.42,0.6611,714
realizable,1757,49.05,8.03,0.6059,714
